num_distr,mouse.t+B1:B193ime,mouse.clicked_name,,,,
5,1.3322186,target',,,,
5,0.9779653,target',,,,
5,1.1296411,target',,,,
5,1.0205348,target',,,,
5,1.6464407,target',,,,
5,1.1170834,target',,,,
5,[1.1161257999483496],[],,,,
5,1.3206913,target',,,,
5,1.6460071,target',,,,
5,[0.9490012000314891],[],,,,
5,1.0492176,target',,,,
5,1.2844143,target',,,,
5,1.7656351,target',,,,
5,1.7962589,target',,,,
5,[1.4322619999293238],[],,,,
5,1.5615218,target',,,,
5,1.4364736,target',,,,
5,1.195717,target',,,,
5,1.5960494,target',,,,
5,1.8648863,target',,,,
5,[1.463361200178042],[],,,,
5,1.3851456,target',,,,
5,2.0958121,target',,,,
5,[2.2941793999634683],[],,,,
5,1.263392,target',,,,
5,2.0029168,target',,,,
5,1.1462996,target',,,,
5,1.3001624,target',,,,
5,0.9280511,target',,,,
5,1.0973793,target',,,,
5,1.5297527,target',,,,
5,1.8954304,target',,,,
5,1.1628559,target',,,,
5,2.0964341,target',,,,
5,1.4496457,target',,,,
5,1.6513724,target',,,,
5,[1.3815270999912173],[],,,,
5,1.4812606,target',,,,
5,1.5374157,target',,,,
5,1.4789561,target',,,,
5,[1.7806080000009388],[],,,,
10,6.8572193,target',,,,
10,3.4881314,target',,,,
10,2.693169,target',,,,
10,1.5926492,target',,,,
10,1.7670059,target',,,,
10,3.0577012,target',,,,
10,4.3852535,target',,,,
10,3.9700451,target',,,,
10,2.7521968,target',,,,
10,5.6025882,target',,,,
10,3.8506983,target',,,,
10,7.2680764,target',,,,
10,1.6298828,target',,,,
10,9.6310446,target',,,,
10,3.6961078,target',,,,
10,2.5139076,target',,,,
10,1.8653336,target',,,,
10,1.7932555,target',,,,
10,5.4200927,target',,,,
10,6.3916623999830335],],,,,
10,2.3762957,target',,,,
10,4.1634548,target',,,,
10,4.6033464,target',,,,
10,2.1829208,target',,,,
10,1.4012804,target',,,,
10,2.089149,target',,,,
10,1.5451690999907441],],,,,
10,1.6682649,target',,,,
10,4.440420700004324],],,,,
10,4.8786866,target',,,,
10,5.3110254,target',,,,
10,2.9524395,target',,,,
10,4.1307138,target',,,,
10,8.618166300002486],],,,,
10,5.199795700027607],],,,,
10,8.64832659997046],],,,,
10,3.484954999992624],],,,,
10,1.13312119996408],],,,,
10,4.435151099984068],],,,,
10,17.154815400019288],],,,,
10,5.100227400020231],],,,,
10,1.9628846000414342],],,,,
10,0.8200389000121504],],,,,
10,1.3457220999989659],],,,,
10,1.2547185000148602],],,,,
10,0.8751639000256546],],,,,
10,0.8144597000209615],],,,,
10,0.8736493000178598],],,,,
10,0.7732668000389822],],,,,
10,1.4274783000000753],],,,,
10,1.8505731000332162],],,,,
10,2.0219761,target',,,,
10,1.8063511,target',,,,
10,3.1137466999934986],],,,,
10,3.201747900049668],],,,,
10,1.8258808,target',,,,
10,5.207313299993984],],,,,
10,1.2356849,target',,,,
10,2.571127899980638],],,,,
10,2.1779177999706008],],,,,
10,3.1007327000261284],],,,,
10,2.374937199987471],],,,,
10,1.21912019996671],],,,,
10,0.3650304999900982],],,,,
10,0.3474802999990061],],,,,
10,1.271073499985505],],,,,
10,0.5419477000250481],],,,,
10,0.7073240000172518],],,,,
10,0.36863919999450445],],,,,
10,0.380609399988316],],,,,
10,0.38878840004326776],],,,,
10,0.20033159997547045],],,,,
10,0.9596968999831006],],,,,
10,0.8351579000009224],],,,,
10,0.77503900002921],],,,,
10,1.4066874,target',,,,
10,1.4388452999992296],],,,,
10,0.625575799960643],],,,,
10,1.0637374999932945],],,,,
10,0.6171803999459371],],,,,
10,0.8596059000119567],],,,,
10,1.267915099975653],],,,,
10,0.8643516999436542],],,,,
10,2.693613500043284],],,,,
10,1.3603672999888659],],,,,
10,1.3463929999852553],],,,,
10,0.8831028999993578],],,,,
10,1.0039201999898069],],,,,
10,1.9988198000355624],],,,,
10,5.963006199977826],],,,,
10,0.5281182000180706],],,,,
10,1.7001816999982111],],,,,
10,1.2271349999937229],],,,,
10,0.25382009998429567],],,,,
10,1.2630491000018083],],,,,
10,0.25669160002144054],],,,,
10,0.2568874999997206],],,,,
10,1.033958000014536],],,,,
10,0.7615284000057727],],,,,
10,1.0365346999606118],],,,,
10,1.2754420000128448],],,,,
10,1.0866493999492377],],,,,
10,1.3689065,target',,,,
10,4.178164,target',,,,
10,1.8581258,target',,,,
10,1.5746961,target',,,,
10,1.1586287,target',,,,
10,1.9139263,target',,,,
10,1.659357,target',,,,
10,1.5470649,target',,,,
10,4.1248609,target',,,,
10,1.4548516,target',,,,
10,1.577658,target',,,,
10,2.4002967,target',,,,
10,1.5261322,target',,,,
10,1.7491155,target',,,,
10,1.5646156,target',,,,
10,1.6324423,target',,,,
10,1.5921829,target',,,,
10,2.2422584,target',,,,
10,2.1713077,target',,,,
10,1.6094183,target',,,,
10,1.9311241,target',,,,
10,1.5768262,target',,,,
10,2.3969355,target',,,,
10,1.1999163,target',,,,
10,1.4257243,target',,,,
10,1.7475984,target',,,,
10,1.898407,target',,,,
10,1.9481153,target',,,,
10,1.6315452,target',,,,
10,1.4297883,target',,,,
10,1.6819181,target',,,,
10,2.6596479,target',,,,
10,2.2835626,target',,,,
10,2.2490558,target',,,,
10,2.514468,target',,,,
10,1.679108,target',,,,
10,1.8266561,target',,,,
10,2.3307897,target',,,,
10,1.9140844,target',,,,
10,1.481727,target',,,,
10,2.2617366,target',,,,
10,2.3950181,target',,,,
10,1.5972651,target',,,,
10,1.5952981,target',,,,
10,2.1293788,target',,,,
10,2.0053379,target',,,,
10,1.371291,target',,,,
10,1.9814016,target',,,,
10,1.7346876,target',,,,
10,1.7886209,target',,,,
10,1.8487387,target',,,,
10,1.4291444,target',,,,
10,1.1831536,target',,,,
10,1.7131317,target',,,,
10,1.2833273,target',,,,
10,1.1157811,target',,,,
10,2.1987837,target',,,,
10,1.5829029,target',,,,
10,2.2782605,target',,,,
10,1.8256752,target',,,,
10,2.5890784,target',,,,
10,1.7413039,target',,,,
10,2.1799368,target',,,,
10,1.8943517,target',,,,
10,2.5519129,target',,,,
10,1.8582156,target',,,,
10,2.0664588,target',,,,
10,2.1805929,target',,,,
10,2.0965954,target',,,,
10,2.5183949,target',,,,
10,1.8315069,target',,,,
10,1.8202081,target',,,,
10,2.6989873,target',,,,
10,2.0631992,target',,,,
10,1.8168579,target',,,,
10,1.6832019,target',,,,
10,2.4640358,target',,,,
10,1.4318399,target',,,,
10,1.5989579,target',,,,
10,1.4095953,target',,,,
10,2.9244161,target',,,,
10,1.7824716,target',,,,
10,3.0750442,target',,,,
10,1.8599938,target',,,,
10,1.8595864,target',,,,
